date,team,acquired,relinquished,notes,url,il_type,injury_type,injury_loc
2008-04-02,Mariners,,J.J. Putz,placed on 15-day DL with right torso inflammation,https://www.prosportstransactions.com/baseball/Search/SearchResults.php?Player=&Team=&BeginDate=2008-01-01&EndDate=&DLChkBx=yes&InjuriesChkBx=yes&submit=Search&start=150,15-day DL,['inflammation'],['right torso']
2008-04-02,Red Sox,J.D. Drew,,returned to lineup,https://www.prosportstransactions.com/baseball/Search/SearchResults.php?Player=&Team=&BeginDate=2008-01-01&EndDate=&DLChkBx=yes&InjuriesChkBx=yes&submit=Search&start=150,,,
2008-04-03,Tigers,,(Jose) Miguel Cabrera,quadricep injury (DTD),https://www.prosportstransactions.com/baseball/Search/SearchResults.php?Player=&Team=&BeginDate=2008-01-01&EndDate=&DLChkBx=yes&InjuriesChkBx=yes&submit=Search&start=150,DTD,['injury'],['quadricep']
2008-04-04,Brewers,,Tony Gwynn Jr. / Anthony Gwynn,left hamstring injury (DTD),https://www.prosportstransactions.com/baseball/Search/SearchResults.php?Player=&Team=&BeginDate=2008-01-01&EndDate=&DLChkBx=yes&InjuriesChkBx=yes&submit=Search&start=150,DTD,['injury'],['left hamstring']
2008-04-04,Brewers,,Tony Gwynn Jr. / Anthony Gwynn,left hamstring injury (DTD),https://www.prosportstransactions.com/baseball/Search/SearchResults.php?Player=&Team=&BeginDate=2008-01-01&EndDate=&DLChkBx=yes&InjuriesChkBx=yes&submit=Search&start=150,DTD,['injury'],['left hamstring']
2008-04-04,Tigers,(Jose) Miguel Cabrera,,returned to lineup,https://www.prosportstransactions.com/baseball/Search/SearchResults.php?Player=&Team=&BeginDate=2008-01-01&EndDate=&DLChkBx=yes&InjuriesChkBx=yes&submit=Search&start=150,,,
2008-03-20,Brewers,,Randy Choate,placed on 15-day DL with fractured left hand,https://www.prosportstransactions.com/baseball/Search/SearchResults.php?Player=&Team=&BeginDate=2008-01-01&EndDate=&DLChkBx=yes&InjuriesChkBx=yes&submit=Search&start=25,15-day DL,['fractured'],['left hand']
2008-03-20,Brewers,,Randy Choate,placed on 15-day DL with fractured left hand,https://www.prosportstransactions.com/baseball/Search/SearchResults.php?Player=&Team=&BeginDate=2008-01-01&EndDate=&DLChkBx=yes&InjuriesChkBx=yes&submit=Search&start=25,15-day DL,['fractured'],['left hand']
2008-03-20,Brewers,,Randy Choate,placed on 15-day DL with fractured left hand,https://www.prosportstransactions.com/baseball/Search/SearchResults.php?Player=&Team=&BeginDate=2008-01-01&EndDate=&DLChkBx=yes&InjuriesChkBx=yes&submit=Search&start=25,15-day DL,['fractured'],['left hand']
2008-03-20,Nationals,,Ryan Wagner,placed on 15-day DL recovering from surgery on right shoulder to repair torn labrum,https://www.prosportstransactions.com/baseball/Search/SearchResults.php?Player=&Team=&BeginDate=2008-01-01&EndDate=&DLChkBx=yes&InjuriesChkBx=yes&submit=Search&start=25,15-day DL,['surgery'],['right shoulder']
2008-03-20,Nationals,,Ryan Wagner,placed on 15-day DL recovering from surgery on right shoulder to repair torn labrum,https://www.prosportstransactions.com/baseball/Search/SearchResults.php?Player=&Team=&BeginDate=2008-01-01&EndDate=&DLChkBx=yes&InjuriesChkBx=yes&submit=Search&start=25,15-day DL,['surgery'],['right shoulder']
2008-03-20,Nationals,,Ryan Wagner,placed on 15-day DL recovering from surgery on right shoulder to repair torn labrum,https://www.prosportstransactions.com/baseball/Search/SearchResults.php?Player=&Team=&BeginDate=2008-01-01&EndDate=&DLChkBx=yes&InjuriesChkBx=yes&submit=Search&start=25,15-day DL,['surgery'],['right shoulder']
2008-03-20,Nationals,,Shawn Hill (Richard),placed on 15-day DL with sore right forearm,https://www.prosportstransactions.com/baseball/Search/SearchResults.php?Player=&Team=&BeginDate=2008-01-01&EndDate=&DLChkBx=yes&InjuriesChkBx=yes&submit=Search&start=25,15-day DL,['sore'],['right forearm']
2008-03-20,Nationals,,Wily Mo Pena,placed on 15-day DL with strained left oblique,https://www.prosportstransactions.com/baseball/Search/SearchResults.php?Player=&Team=&BeginDate=2008-01-01&EndDate=&DLChkBx=yes&InjuriesChkBx=yes&submit=Search&start=25,15-day DL,['strained'],['left oblique']
